id,title,release_date,revenue
568124,Encanto,2021-10-13,253000000
9741,Unbreakable,2000-11-22,248118121
54138,Star Trek Into Darkness,2013-05-05,467365246
414906,The Batman,2022-03-01,770945583
47971,xXx: Return of Xander Cage,2017-01-13,346147658
9487,A Bug's Life,1998-11-25,363258859
337404,Cruella,2021-05-26,233503234
87,Indiana Jones and the Temple of Doom,1984-05-23,333000000
13183,Watchmen,2009-03-04,185258983
9479,The Nightmare Before Christmas,1993-10-09,75634409
566525,Shang-Chi and the Legend of the Ten Rings,2021-09-01,432243292
399579,Alita: Battle Angel,2019-01-31,404980543
664413,365 Days,2020-02-07,9458590
124905,Godzilla,2014-05-14,529076069
50620,The Twilight Saga: Breaking Dawn - Part 2,2012-11-13,829747654
423,The Pianist,2002-09-17,120072577
176,Saw,2004-10-01,103911669
564,The Mummy,1999-04-16,415885488
318846,The Big Short,2015-12-11,133346506
810,Shrek the Third,2007-05-17,813367380
107,Snatch,2000-09-01,83557872
138832,We're the Millers,2013-08-07,269994119
50619,The Twilight Saga: Breaking Dawn - Part 1,2011-11-16,712171856
24021,The Twilight Saga: Eclipse,2010-06-23,698491347
68724,Elysium,2013-08-07,286140700
3933,Corpse Bride,2005-09-12,118133252
177677,Mission: Impossible - Rogue Nation,2015-07-23,682716636
156022,The Equalizer,2014-09-24,192330738
45269,The King's Speech,2010-11-26,414211549
620,Ghostbusters,1984-06-08,296187079
109439,The Hangover Part III,2013-05-23,362000072
954,Mission: Impossible,1996-05-22,457731198
466282,To All the Boys I've Loved Before,2018-08-16,0
76492,Hotel Transylvania,2012-09-20,358375603
254128,San Andreas,2015-05-27,473990832
281338,War for the Planet of the Apes,2017-07-11,490719763
474350,It Chapter Two,2019-09-04,473122525
300668,Annihilation,2018-02-22,43070915
180,Minority Report,2002-06-20,358372926
152532,Dallas Buyers Club,2013-11-01,55736588
453395,Doctor Strange in the Multiverse of Madness,2022-05-04,955775804
8373,Transformers: Revenge of the Fallen,2009-06-19,836303693
512200,Jumanji: The Next Level,2019-12-04,801693929
10625,Mean Girls,2004-04-30,130126277
348350,Solo: A Star Wars Story,2018-05-15,392952373
87101,Terminator Genisys,2015-06-23,440603537
158015,The Purge,2013-05-31,89328627
391713,Lady Bird,2017-09-01,78966486
273481,Sicario,2015-09-17,84872444
464052,Wonder Woman 1984,2020-12-16,169601036
126889,Alien: Covenant,2017-05-09,240891763
450465,Glass,2019-01-16,246999039
670,Oldboy,2003-11-21,15194593
537915,After,2019-04-11,69497587
122906,About Time,2013-09-04,87100449
402900,Ocean's Eight,2018-06-07,297718711
50646,"Crazy, Stupid, Love.",2011-07-29,145079584
259693,The Conjuring 2,2016-06-08,321834351
314365,Spotlight,2015-11-06,98690254
747,Shaun of the Dead,2004-04-09,30097092
429,"The Good, the Bad and the Ugly",1966-12-23,38900000
68734,Argo,2012-10-11,232325503
330,The Lost World: Jurassic Park,1997-05-23,618638999
38356,Transformers: Dark of the Moon,2011-06-28,1123794079
74,War of the Worlds,2005-06-28,603873119
744,Top Gun,1986-05-16,356830601
45612,Source Code,2011-03-30,147332697
436969,The Suicide Squad,2021-07-28,168717425
8355,Ice Age: Dawn of the Dinosaurs,2009-06-26,886686817
63,Twelve Monkeys,1995-12-29,168841459
278927,The Jungle Book,2016-04-07,966550600
328111,The Secret Life of Pets,2016-06-18,875457937
550988,Free Guy,2021-08-11,331526598
389,12 Angry Men,1957-04-10,1000000
217,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,786636033
508943,Luca,2021-06-17,49750471
51497,Fast Five,2011-04-20,626137675
315837,Ghost in the Shell,2017-03-29,169801921
91314,Transformers: Age of Extinction,2014-06-25,1104054072
39254,Real Steel,2011-09-28,299268508
38700,Bad Boys for Life,2020-01-15,426505244
361743,Top Gun: Maverick,2022-05-24,1488732821
339846,Baywatch,2017-05-25,177856751
187,Sin City,2005-04-01,158733820
50014,The Help,2011-08-09,216639112
353081,Mission: Impossible - Fallout,2018-07-13,791657398
337167,Fifty Shades Freed,2018-01-17,368307760
58595,Snow White and the Huntsman,2012-05-30,396600000
524434,Eternals,2021-11-03,402064899
28,Apocalypse Now,1979-08-15,150000000
2108,The Breakfast Club,1985-02-15,51525171
187017,22 Jump Street,2014-06-05,331333876
335797,Sing,2016-11-23,634151679
198184,Chappie,2015-03-04,104399548
435,The Day After Tomorrow,2004-05-26,552639571
35,The Simpsons Movie,2007-07-25,527068851
406997,Wonder,2017-11-13,305937718
50544,Friends with Benefits,2011-07-21,149542245
4348,Pride & Prejudice,2005-09-16,121616555
4951,10 Things I Hate About You,1999-03-30,53478166
1979,Fantastic Four: Rise of the Silver Surfer,2007-06-13,301913131
333371,10 Cloverfield Lane,2016-03-10,110216998
114,Pretty Woman,1990-03-23,463406268
121856,Assassin's Creed,2016-12-21,240697856
256591,Focus,2015-02-25,153962963
95,Armageddon,1998-07-01,553799566
10764,Quantum of Solace,2008-10-29,589580482
10144,The Little Mermaid,1989-11-17,211343479
338970,Tomb Raider,2018-03-05,274650803
254,King Kong,2005-12-12,562363449
22970,The Cabin in the Woods,2012-04-12,71041255
275,Fargo,1996-03-08,60611975
106,Predator,1987-06-12,98267558
341174,Fifty Shades Darker,2017-02-08,378827494
137,Groundhog Day,1993-02-11,71074049
9552,The Exorcist,1973-12-26,441405644
594,The Terminal,2004-06-17,219417255
137106,The Lego Movie,2014-02-06,469160692
290250,The Nice Guys,2016-05-15,62788218
128,Princess Mononoke,1997-07-12,169000000
646380,Don't Look Up,2021-12-07,791863
27578,The Expendables,2010-08-03,274470394
340666,Nocturnal Animals,2016-11-04,29252978
22538,Scott Pilgrim vs. the World,2010-08-12,48000000
268,Batman,1989-06-21,411348924
336843,Maze Runner: The Death Cure,2018-01-10,288175335
1366,Rocky,1976-11-21,225250402
2503,The Bourne Ultimatum,2007-08-03,442824138
2105,American Pie,1999-07-09,235483004
8392,My Neighbor Totoro,1988-04-16,41000000
49013,Cars 2,2011-06-11,559852396
116745,The Secret Life of Walter Mitty,2013-12-18,188133322
257344,Pixels,2015-07-16,244874809
57800,Ice Age: Continental Drift,2012-06-27,877244782
487558,BlacKkKlansman,2018-08-09,93411426
345940,The Meg,2018-08-09,530517320
44115,127 Hours,2010-11-12,35692920
404368,Ralph Breaks the Internet,2018-11-20,529323962
1372,Blood Diamond,2006-12-08,171720398
339964,Valerian and the City of a Thousand Planets,2017-07-20,225973340
2502,The Bourne Supremacy,2004-07-23,288500217
359724,Ford v Ferrari,2019-11-13,225508210
32657,Percy Jackson & the Olympians: The Lightning Thief,2010-02-01,226497209
14836,Coraline,2009-02-05,124600000
312221,Creed,2015-11-25,173567581
4638,Hot Fuzz,2007-02-14,80573774
454983,The Kissing Booth,2018-05-11,0
300669,Don't Breathe,2016-06-08,159047649
214756,Ted 2,2015-06-25,215863606
1954,The Butterfly Effect,2004-01-17,96060858
493922,Hereditary,2018-06-07,82530552
408,Snow White and the Seven Dwarfs,1937-12-21,184925486
59436,Midnight in Paris,2011-05-11,151119219
11970,Hercules,1997-06-20,252712101
168672,American Hustle,2013-12-03,251171807
395992,Life,2017-03-22,100541806
44912,Green Lantern,2011-06-14,219851172
584,2 Fast 2 Furious,2003-06-05,236350661
223702,Sausage Party,2016-07-11,140705322
458723,Us,2019-03-14,256067149
44826,Hugo,2011-11-22,185770160
621,Grease,1978-07-07,181813770
62213,Dark Shadows,2012-05-09,245527149
10192,Shrek Forever After,2010-05-16,752600867
502356,The Super Mario Bros. Movie,2023-04-05,1355725263
282035,The Mummy,2017-06-06,409231607
7326,Juno,2007-12-05,232372681
153,Lost in Translation,2003-09-18,119723856
163,Ocean's Twelve,2004-12-09,362744280
598,City of God,2002-08-30,30641770
587,Big Fish,2003-12-25,123218424
1824,50 First Dates,2004-02-13,196482882
13804,Fast & Furious,2009-04-02,363164265
396535,Train to Busan,2016-07-20,87547518
65,8 Mile,2002-11-08,242875078
8871,How the Grinch Stole Christmas,2000-11-15,345823040
363676,Sully,2016-09-07,240797623
295693,The Boss Baby,2017-03-23,527965936
150689,Cinderella,2015-03-06,543514353
385128,F9,2021-05-19,726229501
83542,Cloud Atlas,2012-10-26,130482868
20526,TRON: Legacy,2010-12-14,400062763
376867,Moonlight,2016-10-21,65046687
8363,Superbad,2007-03-20,170812526
384018,Fast & Furious Presents: Hobbs & Shaw,2019-08-01,760098996
49519,The Croods,2013-03-15,587204668
